treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),AIPA w/o counterfactual,NDCG@10,22360,-3.6067602358964864e-05,0.9700680967273554,0.9008227091051073,0.9665167416291854,-0.00025093725169476064,0.000501490490621842,4472,5,0.0029897635232678074,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o persistence,NDCG@10,22360,6.714136450752032e-05,0.7599212373604031,0.8675824684848408,0.7531234382808596,0.0020436208862052592,0.0003126250076004866,4472,5,0.00025552037143754697,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o relationship,NDCG@10,22360,-0.0002848864796190604,0.7621502922258023,0.9907143908695687,0.7491254372813593,-0.002024053400196753,8.602523033403309e-05,4472,5,0.001934406889616813,1.0,1.0,1.0,natural
AIPA (full),Adaptive fusion,NDCG@10,22360,-0.0017493915099598164,0.07991917000611472,0.1834985504188591,0.07746126936531735,-0.011711391525077677,-0.0032903640541344648,4472,5,0.003957790737119405,0.3995958500305736,1.0,0.3873063468265867,natural
AIPA (full),Conversation-aware,NDCG@10,22360,-0.004322295281017634,9.991410290176693e-05,0.01689137776939629,0.0004997501249375312,-0.026024441788087823,-0.006208855498414295,4472,5,0.001697362598967478,0.0007993128232141355,0.1351310221551703,0.006496751624187906,natural
AIPA (full),KBRD-style,NDCG@10,22360,-0.00607155958853359,5.603452139503951e-08,0.0001627464911067154,0.0004997501249375312,-0.036332324308118044,-0.010971511067872891,4472,5,0.001684656092562553,5.043106925553556e-07,0.001627464911067154,0.006496751624187906,natural
AIPA (full),LTP-only,NDCG@10,22360,0.030455320772671098,1.077124224612517e-144,7.899416306030677e-69,0.0004997501249375312,0.17255704771096697,0.06181626242875567,4472,5,0.0021880752567913176,1.400261491996272e-143,1.026924119783988e-67,0.006496751624187906,natural
AIPA (full),Naive fusion,NDCG@10,22360,-0.0025349128234532737,0.009562158000728653,0.33308885959900714,0.009495252373813094,-0.01733064583794727,-0.002969936572143575,4472,5,0.0015233146660162552,0.06693510600510057,1.0,0.06646676661669165,natural
AIPA (full),SASRec,NDCG@10,22360,0.022041364170862325,2.254323778702105e-72,9.36955872345227e-32,0.0004997501249375312,0.12075918459087041,0.038682369888089235,4472,5,0.0026654416879431106,2.705188534442526e-71,1.1243470468142725e-30,0.006496751624187906,natural
AIPA (full),STI-only,NDCG@10,22360,-0.005710394058629181,2.2587448460320045e-08,0.0009381556737953767,0.0004997501249375312,-0.03740276886521927,-0.00901730425209854,4472,5,0.0028946641633827283,2.2587448460320044e-07,0.00844340106415839,0.006496751624187906,natural
