target_genre,model,n,seeds,Hit@10_mean,Hit@10_std,NDCG@10_mean,NDCG@10_std
Comedy,Conversation-aware,391,2,0.04987212276214834,0.016624040920716114,0.021479445795459646,0.006495027324206942
Comedy,SASRec,391,2,0.03324808184143223,0.0,0.01517162925451209,0.002497373365002222
Comedy,KBRD-style,391,2,0.08312020460358056,0.0012787723785166183,0.0380826881607571,0.0011318300905610174
Comedy,AIPA w/o relationship,391,2,0.08951406649616368,0.005115089514066501,0.041809568653783755,0.005207818815066701
Comedy,AIPA w/o counterfactual,391,2,0.08312020460358056,0.0012787723785166183,0.039974852711529014,0.004573598813468298
Comedy,AIPA w/o clarification,391,2,0.061381074168797956,0.005115089514066501,0.027936783803108968,0.002578811839598797
Comedy,AIPA w/o persistence,391,2,0.06777493606138107,0.0038363171355498688,0.030862073866326722,0.0023937291848903294
Comedy,AIPA (rule policy),391,2,0.07544757033248081,0.008951406649616363,0.03639696622110714,0.0003108408276116803
Comedy,AIPA (full),391,2,0.06777493606138107,0.0038363171355498688,0.030909783245989687,0.0024414385645532936
Crime,LTP-only,176,2,0.02840909090909091,0.017045454545454544,0.013037003240125659,0.007741777392197028
Crime,STI-only,176,2,0.07670454545454546,0.0028409090909090884,0.03548782971312503,0.001626488478588324
Crime,Naive fusion,176,2,0.07386363636363635,0.005681818181818184,0.03136238600467042,0.0023993945009848534
Crime,Adaptive fusion,176,2,0.07386363636363637,0.0,0.035077509665509335,0.0007053744861446956
Crime,Sequential (GRU),176,2,0.02840909090909091,0.022727272727272728,0.01055874743267839,0.0089163336467813
Crime,Conversation-aware,176,2,0.05397727272727273,0.008522727272727272,0.021922492409209425,0.002856636503253648
Crime,SASRec,176,2,0.025568181818181816,0.014204545454545454,0.008838108809274527,0.005553281237480346
Crime,KBRD-style,176,2,0.07670454545454546,0.0028409090909090884,0.034098792798693364,0.0013572051559691233
Crime,AIPA w/o relationship,176,2,0.08522727272727272,0.0,0.0356887321801667,0.0002479673856292802
Crime,AIPA w/o counterfactual,176,2,0.09090909090909091,0.0,0.036975069067324874,1.7241961560061914e-05
Crime,AIPA w/o clarification,176,2,0.07670454545454546,0.025568181818181816,0.034683332528726935,0.011976583053924416
Crime,AIPA w/o persistence,176,2,0.07954545454545454,0.028409090909090908,0.036910442859626184,0.01486149469208802
Crime,AIPA (rule policy),176,2,0.06818181818181818,0.0,0.027418123853551895,0.001721479302278131
Crime,AIPA (full),176,2,0.07954545454545454,0.028409090909090908,0.03695145104463115,0.014902502877092985
Drama,LTP-only,322,2,0.017080745341614904,0.004658385093167702,0.006484118451586722,0.001308401771695227
Drama,STI-only,322,2,0.052795031055900624,0.006211180124223604,0.02406467120555871,0.003290270011417242
Drama,Naive fusion,322,2,0.043478260869565216,0.0,0.020964293495501544,0.00034343539703348726
Drama,Adaptive fusion,322,2,0.05124223602484472,0.010869565217391304,0.02259913273002868,0.004445807788685554
Drama,Sequential (GRU),322,2,0.013975155279503104,0.001552795031055901,0.005352661495842722,0.001238637136614487
Drama,Conversation-aware,322,2,0.03260869565217391,0.004658385093167702,0.016194522102592302,0.003676277395211168
Drama,SASRec,322,2,0.021739130434782608,0.006211180124223602,0.009358147078386697,0.0028135693790257398
Drama,KBRD-style,322,2,0.059006211180124224,0.0062111801242236,0.025135673818580985,0.0022371641542640094
Drama,AIPA w/o relationship,322,2,0.06366459627329193,0.004658385093167704,0.027951340186695844,0.0037051747089895688
Drama,AIPA w/o counterfactual,322,2,0.05745341614906832,0.0015527950310559,0.02628411067079836,0.002181521398743863
Drama,AIPA w/o clarification,322,2,0.04658385093167702,0.009316770186335404,0.025407549823172015,0.005649989491786016
Drama,AIPA w/o persistence,322,2,0.04813664596273292,0.010869565217391304,0.02635371180477447,0.006500978740076302
Drama,AIPA (rule policy),322,2,0.046583850931677016,0.0,0.02487416193334152,0.0017773881574582612
Drama,AIPA (full),322,2,0.04813664596273292,0.010869565217391304,0.026389230211256907,0.006536497146558738
Romance,LTP-only,166,2,0.009036144578313254,0.0030120481927710845,0.0027275894541192707,0.0008271986301088565
Romance,STI-only,166,2,0.057228915662650606,0.0030120481927710836,0.029438300939447153,0.0031812402167677844
Romance,Naive fusion,166,2,0.045180722891566265,0.003012048192771087,0.020231518754512727,0.002708841976892527
Romance,Adaptive fusion,166,2,0.04216867469879518,0.006024096385542171,0.017017169867217876,0.0025012616427141122
Romance,Sequential (GRU),166,2,0.018072289156626505,0.0,0.007597419282700269,0.0006981902861586428
Romance,Conversation-aware,166,2,0.03614457831325301,0.018072289156626505,0.01770999092624184,0.009765336971603405
Romance,SASRec,166,2,0.01807228915662651,0.006024096385542169,0.01119747079293617,0.005590985503337417
Romance,KBRD-style,166,2,0.06626506024096386,0.012048192771084338,0.03051509336369357,0.0054115779945591025
Romance,AIPA w/o relationship,166,2,0.0753012048192771,0.003012048192771087,0.028903320769320395,0.002543645162042864
