model,seed,epoch,rec,rel,act,valid_hit@10,n_self_train_relabelled
AIPA w/o clarification,42,5,6.132728981861203,0.4887253471621625,0.09135852463015574,0.16097147698390285,383
AIPA w/o clarification,42,6,5.977016454495025,0.4741234576487507,0.08139719894884646,0.1536289183846371,289
AIPA w/o clarification,42,7,5.819474848775774,0.4658579517762812,0.07324649007929394,0.14798079638520192,493
AIPA w/o persistence,42,1,7.736407268927432,0.7652591906662273,0.4063262280768713,0.1355549279864445,0
AIPA w/o persistence,42,2,6.738302459214659,0.5650468228012505,0.21294393568121617,0.15447613668455237,0
AIPA w/o persistence,42,3,6.468663260434018,0.5243190082775726,0.1690977348888741,0.15447613668455237,0
AIPA w/o persistence,42,4,6.286261423844931,0.5027286557270758,0.1517093645063976,0.15814741598418525,152
AIPA w/o persistence,42,5,6.13379463758909,0.4882311341009982,0.13478942188858692,0.15899463428410054,438
AIPA w/o persistence,42,6,5.97757757339341,0.473974470157923,0.12589679672270532,0.15532335498446767,312
AIPA w/o persistence,42,7,5.821307045853041,0.4644919987157372,0.1141938689611427,0.1488280146851172,490
AIPA w/o persistence,42,8,5.676054999829826,0.45872932356725116,0.1066227207760314,0.1403558316859644,760
AIPA (rule policy),42,1,7.741416999995927,0.7647560676334317,0.0,0.1412030499858797,0
AIPA (rule policy),42,2,6.732431862516724,0.5656014435958653,0.0,0.150240045184976,0
AIPA (rule policy),42,3,6.454733882418256,0.523399513751253,0.0,0.15193448178480656,0
AIPA (rule policy),42,4,6.280579920908545,0.504084645738649,0.0,0.15447613668455237,69
AIPA (rule policy),42,5,6.119521047864538,0.4893339707693167,0.0,0.15899463428410054,353
AIPA (rule policy),42,6,5.968960148844152,0.47825098131369626,0.0,0.15673538548432647,448
AIPA (rule policy),42,7,5.81644061842312,0.4696042098843689,0.0,0.14543914148545609,211
AIPA (rule policy),42,8,5.661582268141221,0.4660308575349319,0.0,0.14317989268568201,749
AIPA (full),42,1,7.736407268927432,0.7652591906662273,0.4063262280768713,0.1355549279864445,0
AIPA (full),42,2,6.738302459214659,0.5650468228012505,0.21294393568121617,0.15447613668455237,0
AIPA (full),42,3,6.468663260434018,0.5243190082775726,0.1690977348888741,0.15447613668455237,0
AIPA (full),42,4,6.286261423844931,0.5027286557270758,0.1517093645063976,0.15814741598418525,152
AIPA (full),42,5,6.13379463758909,0.4882311341009982,0.13478942188858692,0.15899463428410054,438
AIPA (full),42,6,5.97757757339341,0.473974470157923,0.12589679672270532,0.15532335498446767,312
AIPA (full),42,7,5.821307045853041,0.4644919987157372,0.1141938689611427,0.1488280146851172,490
AIPA (full),42,8,5.676054999829826,0.45872932356725116,0.1066227207760314,0.1403558316859644,760
LTP-only,7,1,8.2431620611621,0.0,0.0,0.052527534594747245,0
LTP-only,7,2,7.623885175409517,0.0,0.0,0.06354137249364586,0
LTP-only,7,3,7.492831100039506,0.0,0.0,0.05845806269415419,0
LTP-only,7,4,7.409664086476132,0.0,0.0,0.05648121999435188,0
LTP-only,7,5,7.320320504420757,0.0,0.0,0.06325896639367411,0
STI-only,7,1,7.756868197551225,0.0,0.0,0.12821236938717875,0
STI-only,7,2,6.748659881946758,0.0,0.0,0.15419373058458063,0
STI-only,7,3,6.494518566974522,0.0,0.0,0.16153628918384638,0
STI-only,7,4,6.334157958644927,0.0,0.0,0.15814741598418525,0
STI-only,7,5,6.1961401598677766,0.0,0.0,0.16661959898333803,0
STI-only,7,6,6.0720604044126105,0.0,0.0,0.15673538548432647,0
STI-only,7,7,5.948953871399514,0.0,0.0,0.15475854278452414,0
STI-only,7,8,5.831930099707398,0.0,0.0,0.15080485738491953,0
Naive fusion,7,1,7.745342105096189,0.0,0.0,0.13470770968652923,0
Naive fusion,7,2,6.7196242964888615,0.0,0.0,0.15193448178480656,0
Naive fusion,7,3,6.454079503645637,0.0,0.0,0.15673538548432647,0
Naive fusion,7,4,6.267588427671657,0.0,0.0,0.15475854278452414,0
Naive fusion,7,5,6.1006975089269355,0.0,0.0,0.15730019768426998,0
Naive fusion,7,6,5.946922146691917,0.0,0.0,0.14713357808528665,0
Naive fusion,7,7,5.792335786378083,0.0,0.0,0.15334651228466534,0
Naive fusion,7,8,5.628375678208141,0.0,0.0,0.14600395368539962,0
Adaptive fusion,7,1,7.746082235371003,0.0,0.0,0.13611974018638803,0
Adaptive fusion,7,2,6.719518158300914,0.0,0.0,0.15136966958486303,0
Adaptive fusion,7,3,6.4499632831095965,0.0,0.0,0.16520756848347926,0
Adaptive fusion,7,4,6.263533004228817,0.0,0.0,0.15447613668455237,0
Adaptive fusion,7,5,6.107790827140294,0.0,0.0,0.1621011013837899,0
Adaptive fusion,7,6,5.954858277355536,0.0,0.0,0.1578650098842135,0
Sequential (GRU),7,1,8.149449670741102,0.0,0.0,0.08076814459192319,0
Sequential (GRU),7,2,7.340160783774889,0.0,0.0,0.09573566789042644,0
Sequential (GRU),7,3,7.120305187909097,0.0,0.0,0.09799491669020051,0
Sequential (GRU),7,4,6.972232251047968,0.0,0.0,0.10025416548997458,0
Sequential (GRU),7,5,6.823115199532002,0.0,0.0,0.09799491669020051,0
Sequential (GRU),7,6,6.669090662531851,0.0,0.0,0.09347641909065235,0
Sequential (GRU),7,7,6.495382658840502,0.0,0.0,0.09149957639085005,0
Conversation-aware,7,1,8.000456452127283,0.0,0.0,0.12341146568765886,0
Conversation-aware,7,2,6.893994978683468,0.0,0.0,0.14233267438576674,0
Conversation-aware,7,3,6.595622255755418,0.0,0.0,0.14628635978537136,0
Conversation-aware,7,4,6.415210525917716,0.0,0.0,0.15391132448460887,0
Conversation-aware,7,5,6.279231364674725,0.0,0.0,0.15052245128494776,0
Conversation-aware,7,6,6.144960010639645,0.0,0.0,0.1564529793843547,0
Conversation-aware,7,7,6.018442955166542,0.0,0.0,0.15475854278452414,0
Conversation-aware,7,8,5.9051448288570985,0.0,0.0,0.14515673538548432,0
Conversation-aware,7,9,5.782028913090681,0.0,0.0,0.14402711098559728,0
SASRec,7,1,13.145783969334193,0.0,0.0,0.05055069189494493,0
SASRec,7,2,8.244094891658436,0.0,0.0,0.054786783394521324,0
SASRec,7,3,7.863368013586898,0.0,0.0,0.05506918949449308,0
SASRec,7,4,7.709913741791452,0.0,0.0,0.06043490539395651,0
SASRec,7,5,7.58767212256561,0.0,0.0,0.07314317989268568,0
SASRec,7,6,7.497333055579009,0.0,0.0,0.07822648969217735,0
SASRec,7,7,7.4293725983076415,0.0,0.0,0.07737927139226207,0
SASRec,7,8,7.368582590875904,0.0,0.0,0.0827449872917255,0
SASRec,7,9,7.305724531328898,0.0,0.0,0.08585145439141485,0
SASRec,7,10,7.251840401616301,0.0,0.0,0.08811070319118892,0
SASRec,7,11,7.191696228673452,0.0,0.0,0.08613386049138662,0
SASRec,7,12,7.130382921581746,0.0,0.0,0.08867551539113244,0
SASRec,7,13,7.069966561681222,0.0,0.0,0.09121717029087828,0
SASRec,7,14,7.004409633282547,0.0,0.0,0.09008754589099124,0
SASRec,7,15,6.937290699347574,0.0,0.0,0.08867551539113244,0
SASRec,7,16,6.874022808560541,0.0,0.0,0.09121717029087828,0
KBRD-style,7,1,8.032968155115942,0.0,0.0,0.13668455238633154,0
KBRD-style,7,2,6.746936112348976,0.0,0.0,0.16125388308387462,0
KBRD-style,7,3,6.464989811699965,0.0,0.0,0.16294831968370516,0
KBRD-style,7,4,6.3025183730938235,0.0,0.0,0.16379553798362045,0
KBRD-style,7,5,6.178116874135284,0.0,0.0,0.1649251623835075,0
KBRD-style,7,6,6.053577752614058,0.0,0.0,0.16436035018356396,0
KBRD-style,7,7,5.934416141905101,0.0,0.0,0.1536289183846371,0
KBRD-style,7,8,5.8261966787934565,0.0,0.0,0.1578650098842135,0
AIPA w/o relationship,7,1,7.753124385387763,0.7800854450014503,0.43350762207935434,0.13442530358655747,0
AIPA w/o relationship,7,2,6.738182105932222,0.5678488353882268,0.23562921054437652,0.14600395368539962,0
AIPA w/o relationship,7,3,6.479203413453501,0.5208242322903239,0.18042934563954197,0.15871222818412878,0
AIPA w/o relationship,7,4,6.296523663620335,0.5006720172734477,0.15786028751861092,0.15617057328438294,144
AIPA w/o relationship,7,5,6.139807871545573,0.4819495362317947,0.13924520490082776,0.1516520756848348,311
AIPA w/o relationship,7,6,5.994591158815764,0.47064331196279036,0.12750127406240033,0.15588816718441117,516
AIPA w/o counterfactual,7,1,7.7527395225969435,0.7808970820489101,0.43028507461126514,0.13386049138661396,0
AIPA w/o counterfactual,7,2,6.735963571583265,0.568129529454097,0.21762679711921942,0.14967523298503246,0
AIPA w/o counterfactual,7,3,6.474139298397991,0.5216428241266124,0.17203085667726692,0.15730019768426998,0
AIPA w/o counterfactual,7,4,6.291546440801959,0.5026522239152164,0.1538550128419277,0.1578650098842135,158
AIPA w/o counterfactual,7,5,6.134496357695443,0.48516333382109567,0.1375103040616993,0.15278170008472183,245
AIPA w/o counterfactual,7,6,5.9881116038072335,0.4749287770660536,0.12533684166912543,0.15391132448460887,550
