treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),STI-only,Hit@10,124,0.024193548387096774,0.36783319569344103,0.6215241308771624,0.5467266366816592,0.08116958401325373,0.02419354838709678,62,2,0.008064516129032258,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Sequential (GRU),Hit@10,124,0.04838709677419355,0.10910952245477983,0.3338112905005203,0.16691654172913542,0.14493340746570646,0.04838709677419354,62,2,0.0,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA (rule policy),NDCG@10,124,-0.0020653352473547137,0.8690183162194463,0.7616700189619693,0.8675662168915542,-0.014839909225475373,0.006698751300728417,62,2,0.0176733459301071,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o clarification,NDCG@10,124,0.004799888023794829,0.3993680546672477,0.9943935750010352,0.6166916541729135,0.07594517403293909,0.007544224765868884,62,2,0.0011528578863429528,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o counterfactual,NDCG@10,124,0.004938434640365307,0.6344591706192035,0.7525842010269863,0.63968015992004,0.04280416785706136,-0.006633714880332986,62,2,0.020393930409451668,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o persistence,NDCG@10,124,0.0,,,,,,62,2,0.0,,,,conflict_natural_strict
AIPA (full),AIPA w/o relationship,NDCG@10,124,0.004841941339187135,0.6418165051630885,0.7546658801837067,0.6436781609195402,0.04187611503602908,-0.006828824141519252,62,2,0.02049042371062984,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Adaptive fusion,NDCG@10,124,0.022181500536594564,0.05040925145428147,0.3179614677090087,0.05547226386806597,0.17743741669864255,0.010861082206035377,62,2,0.0071570651646777105,0.46476662279516034,1.0,0.4992503748125937,conflict_natural_strict
AIPA (full),Conversation-aware,NDCG@10,124,0.02838701679592824,0.04647666227951604,0.32293556901491083,0.047976011994003,0.18062259649712784,0.040842872008324656,62,2,0.006210983269459231,0.46476662279516034,1.0,0.47976011994003,conflict_natural_strict
AIPA (full),KBRD-style,NDCG@10,124,0.0017535249794678352,0.911609549099465,0.8806766137325845,0.9035482258870565,0.009989397418311253,-0.029461498439125905,62,2,0.0201371869415382,1.0,1.0,1.0,conflict_natural_strict
