model,seed,subset,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,F1_Complement,F1_Consistent,F1_Conflict,F1_Override,F1_Uncertain
AIPA (rule policy),123,natural,0.8161896243291592,0.6641926475470985,0.6426467838432476,0.6442683011260788,0.8068525622680479,0.5559673832468495,0.8677556500335646,0.3855932203389831,0.45652173913043476,0.955503512880562
AIPA (rule policy),123,synthetic,0.969551282051282,0.970710660457333,0.9681236673773987,0.968836165551268,0.9693330626312261,0.9372693726937269,0.9723320158102767,0.9345794392523364,1.0,1.0
AIPA (rule policy),123,all,0.8349686028257457,0.7939171819356847,0.759396038976505,0.7707257512962791,0.828617884354744,0.6197530864197531,0.8733587462939433,0.5568513119533528,0.84375,0.959915611814346
AIPA (rule policy),2024,natural,0.7974060822898033,0.6361112079679161,0.6466574862886036,0.6354986291307304,0.7921357708986241,0.4931506849315068,0.8513053348467651,0.44020797227036396,0.4375,0.9553291536050157
AIPA (rule policy),2024,synthetic,0.967948717948718,0.9691089044652129,0.9678351662738937,0.9678569810524232,0.9678974687948937,0.9312977099236641,0.9534883720930233,0.958904109589041,0.9955947136563876,1.0
AIPA (rule policy),2024,all,0.8182888540031397,0.7647110012495922,0.7591116626840342,0.7590717985675252,0.8139018049307607,0.565989847715736,0.8569590392451212,0.5829145728643216,0.8297213622291022,0.9597741707833451
AIPA (rule policy),31337,natural,0.804561717352415,0.6382089858934586,0.6587626726871106,0.6448026281842656,0.8034209383901963,0.5597826086956522,0.8609397247271001,0.42047531992687387,0.4375,0.9453154875717017
AIPA (rule policy),31337,synthetic,0.9631410256410257,0.9637056842939196,0.9615671641791046,0.9619923525120015,0.9627781711007665,0.929368029739777,0.9647058823529412,0.9158878504672897,1.0,1.0
AIPA (rule policy),31337,all,0.8239795918367347,0.7646051420268603,0.7684947618169462,0.7655018234319397,0.822575441192769,0.6168868466398622,0.8668605952114568,0.5597897503285151,0.8333333333333334,0.9506385916465309
AIPA w/o clarification,7,natural,0.8085867620751341,0.6450504013799266,0.6279510581142755,0.6352406763482825,0.809483596643839,0.5778688524590164,0.8553341148886283,0.47761194029850745,0.30985915492957744,0.9555293191656828
AIPA w/o clarification,7,synthetic,0.9743589743589743,0.9757124485849197,0.9729257846107806,0.9738303621827791,0.9742659207477369,0.9485294117647058,0.9761904761904762,0.9488372093023256,0.9955947136563876,1.0
AIPA w/o clarification,7,all,0.8288854003139717,0.78610232917796,0.7717838845047184,0.7783349438185317,0.8297592921310915,0.6359447004608295,0.8620765995129511,0.6014669926650367,0.8322147651006712,0.9599716613531704
AIPA w/o clarification,42,natural,0.7906976744186046,0.6229373329164511,0.5887146248516683,0.6029702358392623,0.7857912948384083,0.5044378698224852,0.8344702137335153,0.46045694200351495,0.2608695652173913,0.9546165884194053
AIPA w/o clarification,42,synthetic,0.9647435897435898,0.9678024854151683,0.9622114988964949,0.9637006061770077,0.9644533498583056,0.9280575539568345,0.9761904761904762,0.9186602870813397,0.9955947136563876,1.0
AIPA w/o clarification,42,all,0.8120094191522763,0.7750872357291422,0.7429053800025045,0.7571671363072847,0.8090736721896599,0.5766871165644172,0.8421505376344086,0.583547557840617,0.8243243243243243,0.9591261451726568
AIPA w/o clarification,123,natural,0.8007602862254025,0.6399254765152067,0.5727011590362048,0.5926300508236829,0.7912308496879772,0.5481886534518113,0.8472128187767998,0.3341288782816229,0.2777777777777778,0.9558421258304025
AIPA w/o clarification,123,synthetic,0.9615384615384616,0.965142373240182,0.9590272322597538,0.9607167449930095,0.9614981503040843,0.9309090909090909,0.9571984435797666,0.9333333333333333,0.9821428571428571,1.0
AIPA w/o clarification,123,all,0.820447409733124,0.7991984004470162,0.7287618043638596,0.7534410658359678,0.8153675620517858,0.6087456846950517,0.8532423208191127,0.534181240063593,0.8108108108108109,0.9602252727912707
AIPA w/o clarification,2024,natural,0.7996422182468694,0.652254634805928,0.6514485008020697,0.6455610659199462,0.7946792941044185,0.549344375431332,0.8466651386660554,0.35390946502057613,0.5217391304347826,0.9561472200469852
AIPA w/o clarification,2024,synthetic,0.9599358974358975,0.962783142454062,0.9577652152769985,0.9589312429974678,0.959758394210032,0.9298892988929889,0.9498069498069498,0.9238095238095239,0.9911504424778761,1.0
AIPA w/o clarification,2024,all,0.8192700156985872,0.775985985225508,0.7529551697776388,0.760692578595943,0.8158792269014589,0.6093023255813953,0.8524448290783211,0.5258620689655172,0.8553459119496856,0.9605077574047954
AIPA w/o clarification,31337,natural,0.8034436493738819,0.6581184875192865,0.5852313920796564,0.6097346853260278,0.7994214450743566,0.5675675675675675,0.8521859819569744,0.37339055793991416,0.3,0.9555293191656828
AIPA w/o clarification,31337,synthetic,0.9663461538461539,0.9704187925170068,0.9634108592376464,0.965186626540713,0.9660080645835739,0.9323843416370107,0.9800796812749004,0.9178743961352657,0.9955947136563876,1.0
AIPA w/o clarification,31337,all,0.8233908948194663,0.8020024661199976,0.7436837326262608,0.7667290260610578,0.8221021229639338,0.623433242506812,0.8592041976388282,0.5408618127786032,0.8501742160278746,0.9599716613531704
AIPA w/o counterfactual,7,natural,0.8034436493738819,0.6497049665671741,0.641348401910421,0.6449973453919908,0.8049500774011067,0.5637942551770208,0.8510938602681722,0.47160068846815834,0.38461538461538464,0.953882538431218
AIPA w/o counterfactual,7,synthetic,0.9727564102564102,0.9733879615413038,0.9716950959488273,0.972272307718469,0.9726224655794945,0.9372693726937269,0.984,0.9400921658986175,1.0,1.0
AIPA w/o counterfactual,7,all,0.8241758241758241,0.7807357120945417,0.7722581661999247,0.7760294574806237,0.825348977738853,0.6210407239819005,0.8584758942457231,0.5989974937343359,0.8431372549019608,0.9584959205391983
AIPA w/o counterfactual,42,natural,0.7924865831842576,0.6211724210264362,0.5953366832503536,0.6053609217201126,0.7903341983337397,0.5343007915567283,0.8407079646017699,0.3855421686746988,0.3076923076923077,0.9585613760750586
AIPA w/o counterfactual,42,synthetic,0.969551282051282,0.9721834226625521,0.9672441364605543,0.9684376295068379,0.9691964997290319,0.9454545454545454,0.968503937007874,0.9282296650717703,1.0,1.0
AIPA w/o counterfactual,42,all,0.8141679748822606,0.7723025459691348,0.7441902937161637,0.7554902319692529,0.8131180071607607,0.5974316024567281,0.8478452066842568,0.545968882602546,0.8235294117647058,0.9626760563380282
AIPA w/o counterfactual,123,natural,0.7994186046511628,0.6282326276697259,0.5970140195813445,0.6056340919115665,0.7892196390593258,0.5234899328859061,0.851063829787234,0.35443037974683544,0.3488372093023256,0.9503491078355314
AIPA w/o counterfactual,123,synthetic,0.967948717948718,0.9702762923351159,0.9669869636778514,0.9677893102457394,0.9680591070509129,0.9398496240601504,0.9498069498069498,0.958139534883721,0.9911504424778761,1.0
AIPA w/o counterfactual,123,all,0.820054945054945,0.7776884785026053,0.737615241600175,0.7522097539381184,0.8132936086609227,0.5924082140634723,0.8564775613886537,0.5428156748911466,0.8141025641025641,0.9552447552447553
AIPA w/o counterfactual,2024,natural,0.7949463327370304,0.6304224287120392,0.6755600005696072,0.6439160687012212,0.7951375750277763,0.5275196568977841,0.8488100793280448,0.4053156146179402,0.48148148148148145,0.9564535111808552
AIPA w/o counterfactual,2024,synthetic,0.9775641025641025,0.9779756856092734,0.977083567126772,0.9772451160676722,0.977546138117189,0.9584905660377359,0.968503937007874,0.9636363636363636,0.9955947136563876,1.0
AIPA w/o counterfactual,2024,all,0.8173076923076923,0.7530944646469699,0.7699497748740147,0.7594093931488082,0.8165373941728055,0.5961538461538461,0.8555066079295154,0.5547445255474452,0.8298507462686567,0.9607912398445779
AIPA w/o counterfactual,31337,natural,0.7868962432915921,0.6198572934896267,0.5957601762320877,0.6053089963631214,0.7828150355553117,0.5192307692307693,0.841025641025641,0.41254125412541254,0.3188405797101449,0.9349067377236391
AIPA w/o counterfactual,31337,synthetic,0.9791666666666666,0.9799303371767994,0.978544776119403,0.9790110592044019,0.9791087702283121,0.9516728624535316,0.9800796812749004,0.963302752293578,1.0,1.0
AIPA w/o counterfactual,31337,all,0.8104395604395604,0.7662182965502797,0.748624951913573,0.7561850267063969,0.8077207947388617,0.5909932140653917,0.8487117375027527,0.558252427184466,0.8417508417508418,0.9412169130285322
AIPA w/o persistence,7,natural,0.8012075134168157,0.7014193074417714,0.700052115832855,0.6990999131807609,0.8041247671825389,0.5632262474367737,0.8416267942583732,0.49770992366412214,0.64,0.9529366005445352
AIPA w/o persistence,7,synthetic,0.9583333333333334,0.9610020099754337,0.9560734859536902,0.9575602938644272,0.958321811950461,0.9197080291970803,0.9609375,0.9295774647887324,0.9775784753363229,1.0
AIPA w/o persistence,7,all,0.820447409733124,0.786708527968288,0.7838510014328541,0.7843727198286642,0.8223845856029234,0.6194588370754174,0.848512173128945,0.6036866359447005,0.8926174496644296,0.9575885033298283
AIPA w/o persistence,42,natural,0.8059033989266547,0.6679966232494572,0.6337977263966453,0.6490978466753472,0.8044682450064283,0.5480769230769231,0.8506598749710581,0.4963768115942029,0.39436619718309857,0.9560094265514533
AIPA w/o persistence,42,synthetic,0.967948717948718,0.9706961745975491,0.9649660531926832,0.9665935103244838,0.9676663857283325,0.9428571428571428,0.984,0.9238095238095239,0.9823008849557522,1.0
AIPA w/o persistence,42,all,0.82574568288854,0.7928026392066813,0.7639611907602826,0.7772054101575809,0.8252334784153292,0.6117511520737328,0.8579557890129131,0.6141732283464567,0.8417508417508418,0.9603960396039604
AIPA w/o persistence,123,natural,0.8088103756708408,0.666119657949803,0.6010475103152947,0.6195952831017694,0.799580953043057,0.5478502080443828,0.8586222422332283,0.37825059101654845,0.358974358974359,0.9542790152403282
AIPA w/o persistence,123,synthetic,0.9663461538461539,0.9696044413601665,0.9637666928515319,0.9654264191705281,0.9662107225488789,0.9386281588447654,0.968503937007874,0.9333333333333333,0.9866666666666667,1.0
AIPA w/o persistence,123,all,0.8281004709576139,0.8075795722831749,0.741800583942718,0.7643373843964116,0.8228579406133896,0.6108202443280978,0.8645655877342419,0.5624012638230648,0.8250825082508251,0.9588173178458289
AIPA w/o persistence,2024,natural,0.809257602862254,0.6661758044926838,0.6484110741105543,0.6549681884669754,0.8073497262817589,0.5733157199471598,0.8623981373690338,0.3843137254901961,0.5,0.9548133595284872
AIPA w/o persistence,2024,synthetic,0.9615384615384616,0.9641499688778822,0.9595196012419107,0.9606146538561944,0.9612931593066275,0.9264705882352942,0.9571984435797666,0.9238095238095239,0.9955947136563876,1.0
AIPA w/o persistence,2024,all,0.8279042386185244,0.7864953428959123,0.7628132084503904,0.7724574232591193,0.8267765527170984,0.6270996640537514,0.8677504393673111,0.5416666666666666,0.8664495114006515,0.9593208348072161
AIPA w/o persistence,31337,natural,0.8094812164579607,0.6589067861856078,0.6768395660340808,0.6570075744074574,0.805581251093385,0.5478073328540618,0.8577291381668947,0.4621359223300971,0.46296296296296297,0.9544025157232704
AIPA w/o persistence,31337,synthetic,0.9583333333333334,0.9599006875477464,0.9591417910447761,0.9580796143533785,0.9580345471505168,0.9090909090909091,0.935361216730038,0.9459459459459459,1.0,1.0
AIPA w/o persistence,31337,all,0.8277080062794349,0.7787013754850329,0.772942732709293,0.771946097996322,0.8242411521501055,0.6034063260340633,0.8621208862120886,0.6078697421981004,0.8273809523809523,0.9589525831564049
AIPA w/o relationship,7,natural,0.8059033989266547,0.64133559953935,0.5782098631849084,0.6024418624208121,0.7968092267912151,0.5283582089552239,0.855486173059768,0.4246031746031746,0.25,0.9537617554858934
AIPA w/o relationship,7,synthetic,0.9503205128205128,0.9542763619359362,0.9470509295627128,0.9487549513888263,0.9498561910307044,0.896797153024911,0.9723320158102767,0.883495145631068,0.9911504424778761,1.0
