model,seed,subset,ECE,Brier
AIPA w/o clarification,123,natural,0.03655373814227544,0.05548105854541063
AIPA w/o clarification,123,synthetic,0.11552131109130688,0.0159580796957016
AIPA w/o clarification,123,all,0.043251527283264674,0.05064151119440794
AIPA w/o clarification,2024,natural,0.04378020798717498,0.055596630088984966
AIPA w/o clarification,2024,synthetic,0.08665162133864866,0.01475896080955863
AIPA w/o clarification,2024,all,0.046793337472753965,0.050596097484230995
AIPA w/o clarification,31337,natural,0.04316300217042244,0.05532439993694425
AIPA w/o clarification,31337,synthetic,0.1206583397415204,0.01650184951722622
AIPA w/o clarification,31337,all,0.0514744084556492,0.050570618454366924
AIPA w/o counterfactual,7,natural,0.05253831623038793,0.05664203017950058
AIPA w/o counterfactual,7,synthetic,0.09656250042219956,0.011542756855487824
AIPA w/o counterfactual,7,all,0.057284294816210654,0.05111967213451862
AIPA w/o counterfactual,42,natural,0.03306597281307355,0.05876860115677118
AIPA w/o counterfactual,42,synthetic,0.09681288620982414,0.013545093405991793
AIPA w/o counterfactual,42,all,0.0387303057525839,0.05323102632537484
AIPA w/o counterfactual,123,natural,0.03032636927017586,0.055776307452470066
AIPA w/o counterfactual,123,synthetic,0.0813595943917067,0.01261625848710537
AIPA w/o counterfactual,123,all,0.031881946467997704,0.05049140099436045
AIPA w/o counterfactual,2024,natural,0.04054964055875335,0.057323377765715125
AIPA w/o counterfactual,2024,synthetic,0.11596093326807022,0.012172094732522964
AIPA w/o counterfactual,2024,all,0.04633407982496115,0.05179465189576149
AIPA w/o counterfactual,31337,natural,0.032783473820187314,0.0595549120567739
AIPA w/o counterfactual,31337,synthetic,0.11105070793284821,0.011863223928958177
AIPA w/o counterfactual,31337,all,0.04176010666312753,0.05371511233970523
AIPA w/o persistence,7,natural,0.03689540748039599,0.05678820023313165
AIPA w/o persistence,7,synthetic,0.09495379398457515,0.016026739263907075
AIPA w/o persistence,7,all,0.03935819084710754,0.05179700357839465
AIPA w/o persistence,42,natural,0.06918866853088086,0.05617177113890648
AIPA w/o persistence,42,synthetic,0.10219006369320249,0.013249644776806235
AIPA w/o persistence,42,all,0.06996883355443667,0.0509160022251308
AIPA w/o persistence,123,natural,0.039104905206050325,0.05350218005478382
AIPA w/o persistence,123,synthetic,0.11884431158884981,0.0157156765460968
AIPA w/o persistence,123,all,0.048380802106258426,0.048875263147056106
AIPA w/o persistence,2024,natural,0.038376290944266644,0.053369980212301014
AIPA w/o persistence,2024,synthetic,0.0817466785605901,0.016374814976006746
AIPA w/o persistence,2024,all,0.04075957862207055,0.048839958384633064
AIPA w/o persistence,31337,natural,0.06809040126998862,0.053997918404638766
AIPA w/o persistence,31337,synthetic,0.11821420696110296,0.018299091793596744
AIPA w/o persistence,31337,all,0.07422797056134302,0.04962663240730762
AIPA w/o relationship,7,natural,0.057283572732655844,0.05457380972802639
AIPA w/o relationship,7,synthetic,0.0886811235298713,0.017078228993341327
AIPA w/o relationship,7,all,0.06086394986725492,0.049982511531561614
AIPA w/o relationship,42,natural,0.039866500042632126,0.05846824645996094
AIPA w/o relationship,42,synthetic,0.09858804993713513,0.012642934080213308
AIPA w/o relationship,42,all,0.04238343587966881,0.052856979239732024
AIPA w/o relationship,123,natural,0.030394402161000672,0.0554926180280745
AIPA w/o relationship,123,synthetic,0.08233813974910822,0.012320179352536797
AIPA w/o relationship,123,all,0.03175022647814059,0.05020619686692953
AIPA w/o relationship,2024,natural,0.0467997893077956,0.05695509538054466
AIPA w/o relationship,2024,synthetic,0.11408038685719173,0.011465202923864127
AIPA w/o relationship,2024,all,0.04957517435894094,0.05138490395620465
AIPA w/o relationship,31337,natural,0.05171788981007762,0.061134958267211915
AIPA w/o relationship,31337,synthetic,0.10994419030463085,0.010495259473100305
