model,seed,subset,STI_driven_rate,LTP_driven_rate,Jointly_driven_rate,Neither_driven_rate,mean_abs_delta_LTP,mean_abs_delta_STI,mean_topk_overlap_noLTP,mean_topk_overlap_noSTI,n
AIPA w/o clarification,123,synthetic,0.5689102564102564,0.003205128205128205,0.42788461538461536,0.0,0.5633916854858398,0.8854356408119202,0.43660834431648254,0.11456433683633804,624
AIPA w/o clarification,123,all,0.5563186813186813,0.0019623233908948193,0.44171899529042385,0.0,0.5391969084739685,0.8793885111808777,0.4608031213283539,0.12061155587434769,5096
AIPA w/o clarification,2024,natural,0.5988372093023255,0.0004472271914132379,0.4007155635062612,0.0,0.5440425872802734,0.9139183759689331,0.4559573531150818,0.08608166873455048,4472
AIPA w/o clarification,2024,synthetic,0.6410256410256411,0.0,0.358974358974359,0.0,0.5654942393302917,0.9228093028068542,0.43450579047203064,0.07719074189662933,624
AIPA w/o clarification,2024,all,0.6040031397174255,0.0003924646781789639,0.3956043956043956,0.0,0.5466693639755249,0.9150069355964661,0.4533306360244751,0.08499298244714737,5096
AIPA w/o clarification,31337,natural,0.6399821109123435,0.002012522361359571,0.35800536672629696,0.0,0.49856528639793396,0.8944295644760132,0.5014346837997437,0.10557045042514801,4472
AIPA w/o clarification,31337,synthetic,0.6522435897435898,0.0016025641025641025,0.34615384615384615,0.0,0.5376513600349426,0.8943997025489807,0.4623486399650574,0.1056002601981163,624
AIPA w/o clarification,31337,all,0.6414835164835165,0.0019623233908948193,0.3565541601255887,0.0,0.5033513307571411,0.8944258689880371,0.4966486692428589,0.1055741012096405,5096
AIPA w/o counterfactual,7,natural,0.6451252236135957,0.0022361359570661895,0.3526386404293381,0.0,0.5153557062149048,0.9081476926803589,0.4846442937850952,0.09185222536325455,4472
AIPA w/o counterfactual,7,synthetic,0.6458333333333334,0.004807692307692308,0.34935897435897434,0.0,0.5396851301193237,0.9093121290206909,0.46031486988067627,0.09068788588047028,624
AIPA w/o counterfactual,7,all,0.6452119309262166,0.002551020408163265,0.3522370486656201,0.0,0.5183348059654236,0.9082903265953064,0.4816652238368988,0.09170965850353241,5096
AIPA w/o counterfactual,42,natural,0.6411001788908766,0.002012522361359571,0.35688729874776387,0.0,0.5117319822311401,0.9002172350883484,0.48826804757118225,0.09978273510932922,4472
AIPA w/o counterfactual,42,synthetic,0.6586538461538461,0.003205128205128205,0.33814102564102566,0.0,0.5330961346626282,0.9036294221878052,0.4669038951396942,0.0963706374168396,624
AIPA w/o counterfactual,42,all,0.6432496075353218,0.0021585557299843012,0.35459183673469385,0.0,0.514348030090332,0.9006350636482239,0.48565202951431274,0.09936492890119553,5096
AIPA w/o counterfactual,123,natural,0.587432915921288,0.0015652951699463328,0.41100178890876565,0.0,0.5367646217346191,0.9004689455032349,0.46323543787002563,0.09953104704618454,4472
AIPA w/o counterfactual,123,synthetic,0.594551282051282,0.009615384615384616,0.3958333333333333,0.0,0.5589122176170349,0.9028769135475159,0.4410877823829651,0.09712307900190353,624
AIPA w/o counterfactual,123,all,0.5883045525902669,0.002551020408163265,0.40914442700156983,0.0,0.5394765734672546,0.900763750076294,0.4605233669281006,0.09923619031906128,5096
AIPA w/o counterfactual,2024,natural,0.6379695885509838,0.0017889087656529517,0.36024150268336314,0.0,0.5252562165260315,0.912289559841156,0.4747437834739685,0.08771048486232758,4472
AIPA w/o counterfactual,2024,synthetic,0.6105769230769231,0.00641025641025641,0.38301282051282054,0.0,0.5754292011260986,0.9112393260002136,0.42457082867622375,0.08876067399978638,624
AIPA w/o counterfactual,2024,all,0.6346153846153846,0.002354788069073783,0.3630298273155416,0.0,0.5313997864723206,0.9121609330177307,0.46860018372535706,0.08783907443284988,5096
AIPA w/o counterfactual,31337,natural,0.627906976744186,0.0004472271914132379,0.37164579606440074,0.0,0.5422741770744324,0.9330368041992188,0.45772585272789,0.06696322560310364,4472
AIPA w/o counterfactual,31337,synthetic,0.5913461538461539,0.0016025641025641025,0.40705128205128205,0.0,0.6049500703811646,0.9453283548355103,0.39504995942115784,0.05467159301042557,624
AIPA w/o counterfactual,31337,all,0.6234301412872841,0.0005886970172684458,0.37598116169544743,0.0,0.5499486923217773,0.9345418810844421,0.4500512480735779,0.06545811891555786,5096
AIPA w/o persistence,7,natural,0.618515205724508,0.0008944543828264759,0.3805903398926655,0.0,0.5532373785972595,0.933803379535675,0.4467625916004181,0.06619662791490555,4472
AIPA w/o persistence,7,synthetic,0.6458333333333334,0.0,0.3541666666666667,0.0,0.5765649080276489,0.9400914311408997,0.4234350025653839,0.059908609837293625,624
AIPA w/o persistence,7,all,0.6218602825745683,0.0007849293563579278,0.3773547880690738,0.0,0.5560938119888306,0.9345733523368835,0.44390618801116943,0.06542666256427765,5096
AIPA w/o persistence,42,natural,0.5755813953488372,0.004025044722719142,0.4203935599284436,0.0,0.546290397644043,0.899876058101654,0.45370954275131226,0.10012397170066833,4472
AIPA w/o persistence,42,synthetic,0.5865384615384616,0.017628205128205128,0.3958333333333333,0.0,0.5698171854019165,0.9007433652877808,0.4301828145980835,0.09925665706396103,624
AIPA w/o persistence,42,all,0.5769230769230769,0.005690737833594976,0.4173861852433281,0.0,0.5491712689399719,0.8999822735786438,0.4508287012577057,0.10001777112483978,5096
AIPA w/o persistence,123,natural,0.5594812164579607,0.002012522361359571,0.4385062611806798,0.0,0.5252257585525513,0.870842456817627,0.47477424144744873,0.12915752828121185,4472
